Date,Con,Lab,Lib Dem,SNP,Plaid Cymru,Reform UK,Green,Other
26/01/2020,49,29,10,5,1,2,4,0
02/02/2020,49,30,8,4,1,2,5,1
10/02/2020,48,28,10,4,1,2,6,1
02/04/2020,52,28,8,5,1,1,5,1
17/04/2020,53,32,5,4,1,1,3,1
06/05/2020,50,30,7,4,1,3,5,1
19/05/2020,48,33,6,5,1,2,5,1
26/05/2020,44,38,6,5,1,2,4,1
30/05/2020,45,35,6,5,0,2,5,1
12/06/2020,45,37,6,5,1,2,4,0
28/06/2020,45,37,5,5,1,2,4,1
09/07/2020,46,36,6,5,1,2,3,1
23/07/2020,44,35,7,5,1,3,4,1
31/07/2020,43,35,6,5,1,3,5,1
05/08/2020,42,36,8,5,1,2,5,1
12/08/2020,44,35,5,6,1,3,5,1
19/08/2020,40,38,6,5,1,4,6,1
25/08/2020,43,36,6,6,1,3,4,1
04/09/2020,43,37,6,6,1,3,4,1
09/09/2020,42,37,6,5,1,3,4,1
17/09/2020,40,40,6,4,1,3,5,1
24/09/2020,41,38,6,4,1,3,5,2
30/09/2020,39,39,6,5,1,4,5,1
07/10/2020,41,38,5,5,1,3,6,1
15/10/2020,39,38,6,5,1,5,6,1
22/10/2020,40,39,7,5,1,3,5,2
29/10/2020,38,38,6,5,1,4,5,2
05/11/2020,35,40,7,5,1,6,4,2
12/11/2020,38,40,5,5,1,4,5,1
18/11/2020,38,37,7,6,1,4,6,2
27/11/2020,37,40,5,6,1,5,5,2
09/12/2020,37,37,8,5,1,5,6,1
16/12/2020,39,37,6,5,1,4,6,2
22/12/2020,37,41,5,5,1,4,5,1
05/01/2021,39,39,6,5,1,3,6,2
14/01/2021,38,39,5,5,1,3,6,2
22/01/2021,39,38,5,5,1,4,6,2
27/01/2021,37,41,6,5,1,3,4,3
03/02/2021,41,37,6,5,1,3,6,2
10/02/2021,41,36,6,5,1,3,7,3
18/02/2021,40,37,7,5,1,3,6,1
26/02/2021,41,36,5,5,1,3,7,1
04/03/2021,45,32,6,5,1,3,7,1
10/03/2021,42,33,7,4,1,3,6,2
19/03/2021,43,34,5,5,1,3,7,2
26/03/2021,42,32,8,5,1,3,7,2
01/04/2021,42,34,7,5,1,3,6,2
08/01/2021,41,34,6,5,1,3,6,3
14/04/2021,43,29,8,5,1,3,8,2
22/04/2021,44,34,5,5,1,2,7,2
28/04/2021,44,33,7,4,1,3,7,1
05/05/2021,43,33,7,5,1,3,6,2
12/05/2021,45,30,7,5,1,2,8,2
20/05/2021,46,28,8,5,1,2,8,1
28/05/2021,43,29,8,5,1,3,8,2
03/06/2021,46,30,6,4,1,2,9,2
10/06/2021,44,31,7,5,1,2,9,2
17/06/2021,45,31,6,5,1,4,7,2
24/06/2021,42,30,9,5,1,4,7,2
30/06/2021,42,31,10,5,1,3,6,2
08/07/2021,42,30,9,5,1,2,7,3
16/07/2021,44,31,8,4,1,3,6,2
21/07/2021,38,34,9,5,1,3,8,2
29/07/2021,39,34,8,4,1,3,9,2
06/08/2021,41,33,8,5,1,3,7,2
12/08/2021,40,32,9,5,1,2,7,3
18/08/2021,40,32,9,5,1,3,8,2
25/08/2021,39,31,8,5,1,4,9,3
03/09/2021,38,34,8,5,1,3,10,3
09/09/2021,33,35,10,5,1,5,9,2
16/09/2021,39,35,7,5,1,3,7,2
23/09/2021,39,32,10,4,1,3,9,2
29/09/2021,39,31,8,5,1,4,9,2
06/10/2021,39,31,9,6,1,4,9,2
13/10/2021,41,31,9,4,1,4,8,2
21/10/2021,37,33,9,5,1,4,10,2
28/10/2021,39,33,8,5,1,3,10,2
04/11/2021,36,35,8,5,0,5,9,2
10/11/2021,35,35,8,5,1,4,10,3
18/11/2021,36,34,7,4,1,5,10,3
25/11/2021,36,35,7,5,1,6,8,2
02/12/2021,36,33,9,5,1,6,9,1
09/12/2021,33,37,9,5,1,6,7,2
10/12/2021,32,40,8,4,1,7,7,2
15/12/2021,32,37,10,5,1,6,7,3
20/12/2021,30,36,12,6,1,5,8,3
07/01/2022,33,37,10,5,1,5,6,3
12/01/2022,28,38,13,5,2,4,7,3
13/01/2022,29,40,11,5,1,6,6,1
14/01/2022,31,39,11,5,1,5,6,2
21/01/2022,32,39,8,5,1,4,8,2
27/01/2022,32,38,11,5,1,3,7,3
02/02/2022,32,41,10,5,1,4,6,2
11/02/2022,34,37,10,5,1,4,8,2
17/02/2022,34,38,10,4,1,4,6,2
25/02/2022,34,39,9,5,1,5,6,3
04/03/2022,35,37,7,5,1,5,8,2
09/03/2022,33,39,10,4,1,4,7,2
17/03/2022,33,39,10,5,1,4,7,2
23/03/2022,35,36,9,4,1,5,8,3
24/03/2022,35,37,10,4,1,4,7,2
30/03/2022,33,37,9,6,1,5,6,3
07/04/2022,34,37,10,4,1,4,7,3
14/04/2022,33,38,10,4,1,5,7,2
20/04/2022,33,39,9,4,1,3,8,3
27/04/2022,33,39,11,5,0,3,6,2
06/05/2022,35,36,10,5,1,4,8,2
11/05/2022,33,38,12,4,1,3,6,2
19/05/2022,31,39,12,5,1,4,7,1
25/05/2022,31,39,12,4,1,4,7,2
03/06/2022,32,36,12,5,1,4,8,1
09/06/2022,32,39,11,5,1,3,7,2
16/06/2022,33,39,10,4,1,4,6,2
23/06/2022,34,39,9,4,1,4,8,2
29/06/2022,33,36,13,5,1,3,6,2
07/07/2022,29,40,15,5,1,3,6,2
14/07/2022,29,40,13,4,1,4,7,2
22/07/2022,32,39,12,4,1,4,8,2
28/07/2022,34,35,13,5,1,3,7,1
05/08/2022,33,37,11,5,1,3,8,2
10/08/2022,30,39,12,5,1,4,6,3
17/08/2022,28,43,11,5,1,4,7,2
24/08/2022,31,39,11,5,1,5,7,2
01/09/2022,28,43,11,5,1,3,6,2
07/09/2022,29,44,10,5,1,3,7,2
12/09/2022,32,42,10,4,1,2,7,1
22/09/2022,32,40,9,5,1,3,8,2
25/09/2022,28,45,9,4,1,3,7,2
29/09/2022,21,54,7,5,1,4,6,1
